ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,hgnc_symbol,ihwP
ENSG00000000003,59.09981836492705,-0.13796123280537664,0.3124334695272563,0.6628412923375568,0.8611055463116637,TSPAN6,1
ENSG00000000005,3.6311428882050363,0.629954743365374,1.1694716710803692,NA,NA,TNMD,NA
ENSG00000000419,175.72292052261517,0.21078944550321221,0.2992593115324143,0.4617665892222393,0.7490553997282787,DPM1,0.6688654105909191
ENSG00000000457,64.61817132687729,-0.372848756708222,0.28258505479689383,0.15043459069243464,0.4639796672540341,SCYL3,1
ENSG00000000460,43.38436916533463,6.25031002017965e-4,0.3285786359509755,0.8731727745491407,0.9538936897965522,C1orf112,1
ENSG00000000938,6101.758970026226,0.5271741346326666,0.3233262156757408,0.07914521297155082,0.3554002417035518,FGR,0.2578297562813907
ENSG00000000971,49.49982382168231,-0.3163283278828516,0.4528106542574141,0.35822007672929473,0.6772198142499397,CFH,1
ENSG00000001036,214.44762554983683,0.19314666017538934,0.1952877879853811,0.28153561271743965,0.6070697316093185,FUCA2,0.8498391495262866
ENSG00000001084,364.101093987549,-0.6663920092924666,0.31678731745516686,0.02571753599397039,0.21713596320547496,GCLC,0.17911816427295413
ENSG00000001167,176.02824511890503,-0.07884132228370495,0.26710377576086586,0.7112237793313476,0.8843410323238876,NFYA,1
ENSG00000001460,65.65825068513878,0.11726611522624712,0.3435374601424946,0.7313481014971119,0.892255340200845,STPG1,1
ENSG00000001461,103.10543408993294,-0.15110492971276412,0.272695245974755,0.5880220168169494,0.82260391548862,NIPAL3,1
ENSG00000001497,33.34639091630645,-0.3783502937063154,0.3527630255340903,0.32223953690880697,0.6461570440562465,LAS1L,0.8975562506974553
ENSG00000001561,73.03784196184493,0.42484343092857657,0.4106088338795474,0.2561729786278714,0.5837119600477646,ENPP4,1
ENSG00000001617,40.206479708151214,-0.19294629836528615,0.45746938052270586,0.6417225151210166,0.8501495088029909,SEMA3F,1
ENSG00000001626,699.5972187011694,0.031239470249756984,0.296450405354052,0.9242337660929717,0.9735764404901561,CFTR,0.9403822410794958
ENSG00000001629,247.7533889840822,-0.3502523692349949,0.2439345249791161,0.12006511633765113,0.42212613765064017,ANKIB1,0.5750488310368606
ENSG00000001630,105.14631009493212,-0.1106223634032735,0.2692947007213294,0.7063714952835769,0.8818941092631324,CYP51A1,1
ENSG00000001631,170.2938241301673,-0.1376441128823022,0.23218242839328415,0.49936816874176654,0.7733898485382582,KRIT1,0.6951553340131574
ENSG00000002016,68.00779996466376,-0.4042670505333082,0.24402817576367963,0.07722031838857198,0.3516799898642522,RAD52,0.9754309306265908
